variables,type,units,values,description
blade.interp_airfoils.pitch_axis,input,,"[0.5        0.4805125  0.40967346 0.35077675 0.31038066 0.28320245
 0.26462878 0.25229681 0.24475743 0.24125724 0.24097363 0.24373741
 0.24949352 0.25783338 0.26800204 0.27871542 0.28894648 0.29826385
 0.30615885 0.31213058 0.31548724 0.31753162 0.31586754 0.3097253
 0.29970862 0.28806825 0.27765471 0.27050463 0.26661986 0.25      ]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.interp_airfoils.chord,input,m,"[2.6        2.6400108  3.02068886 3.43940393 3.78632687 4.03933222
 4.20600551 4.28630928 4.29010407 4.22617877 4.10030408 3.92512419
 3.70983694 3.46870635 3.22039928 2.98486122 2.77085185 2.58013169
 2.4118525  2.26552908 2.1420721  2.04143062 1.96370352 1.90855684
 1.87089392 1.81035886 1.6705797  1.39382511 0.92204843 0.2       ]",1D array of the chord values defined along blade span.
blade.interp_airfoils.ac,input,,[0.25 0.25 0.25 0.25 0.25 0.25 0.5 ],1D array of the aerodynamic centers of each airfoil.
blade.interp_airfoils.r_thick_discrete,input,,[0.21 0.25 0.3  0.35 0.4  0.5  1.  ],1D array of the relative thicknesses of each airfoil.
blade.interp_airfoils.aoa,input,rad,"[-3.14159265 -3.08923278 -3.0368729  -2.98451302 -2.93215314 -2.87979327
 -2.82743339 -2.77507351 -2.72271363 -2.67035376 -2.61799388 -2.565634
 -2.51327412 -2.46091425 -2.40855437 -2.35619449 -2.30383461 -2.25147474
 -2.19911486 -2.14675498 -2.0943951  -2.04203522 -1.98967535 -1.93731547
 -1.88495559 -1.83259571 -1.78023584 -1.72787596 -1.67551608 -1.6231562
 -1.57079633 -1.51843645 -1.46607657 -1.41371669 -1.36135682 -1.30899694
 -1.25663706 -1.20427718 -1.15191731 -1.09955743 -1.04719755 -0.99483767
 -0.9424778  -0.89011792 -0.83775804 -0.78539816 -0.73303829 -0.68067841
 -0.62831853 -0.57595865 -0.52359878 -0.51302102 -0.50244327 -0.49186552
 -0.48128776 -0.47071001 -0.46013226 -0.4495545  -0.43897675 -0.428399
 -0.41782125 -0.40724349 -0.39666574 -0.38608799 -0.37551023 -0.36493248
 -0.35435473 -0.34377697 -0.33319922 -0.32262147 -0.31204371 -0.30146596
 -0.29088821 -0.28031046 -0.2697327  -0.25915495 -0.2485772  -0.23799944
 -0.22742169 -0.21684394 -0.20626618 -0.19568843 -0.18511068 -0.17453293
 -0.16395517 -0.15337742 -0.14279967 -0.13222191 -0.12164416 -0.11106641
 -0.10048865 -0.0899109  -0.07933315 -0.06875539 -0.05817764 -0.04759989
 -0.03702214 -0.02644438 -0.01586663 -0.00528888  0.00528888  0.01586663
  0.02644438  0.03702214  0.04759989  0.05817764  0.06875539  0.07933315
  0.0899109   0.10048865  0.11106641  0.12164416  0.13222191  0.14279967
  0.15337742  0.16395517  0.17453293  0.18511068  0.19568843  0.20626618
  0.21684394  0.22742169  0.23799944  0.2485772   0.25915495  0.2697327
  0.28031046  0.29088821  0.30146596  0.31204371  0.32262147  0.33319922
  0.34377697  0.35435473  0.36493248  0.37551023  0.38608799  0.39666574
  0.40724349  0.41782125  0.428399    0.43897675  0.4495545   0.46013226
  0.47071001  0.48128776  0.49186552  0.50244327  0.51302102  0.52359878
  0.57595865  0.62831853  0.68067841  0.73303829  0.78539816  0.83775804
  0.89011792  0.9424778   0.99483767  1.04719755  1.09955743  1.15191731
  1.20427718  1.25663706  1.30899694  1.36135682  1.41371669  1.46607657
  1.51843645  1.57079633  1.6231562   1.67551608  1.72787596  1.78023584
  1.83259571  1.88495559  1.93731547  1.98967535  2.04203522  2.0943951
  2.14675498  2.19911486  2.25147474  2.30383461  2.35619449  2.40855437
  2.46091425  2.51327412  2.565634    2.61799388  2.67035376  2.72271363
  2.77507351  2.82743339  2.87979327  2.93215314  2.98451302  3.0368729
  3.08923278  3.14159265]",1D array of the angles of attack used to define the polars of the airfoils. All airfoils defined in openmdao share this grid.
blade.interp_airfoils.cl,input,,"[[[[ 0.00161056]]

  [[ 0.14967597]]

  [[ 0.30232783]]

  ...

  [[-0.28300202]]

  [[-0.14039389]]

  [[ 0.00161056]]]


 [[[ 0.00118428]]

  [[ 0.10853719]]

  [[ 0.21785002]]

  ...

  [[-0.2072071 ]]

  [[-0.1032345 ]]

  [[ 0.00118428]]]


 [[[ 0.00119483]]

  [[ 0.10945512]]

  [[ 0.21969285]]

  ...

  [[-0.20905324]]

  [[-0.10415446]]

  [[ 0.00119483]]]


 ...


 [[[ 0.00169089]]

  [[ 0.14739668]]

  [[ 0.29886003]]

  ...

  [[-0.29886003]]

  [[-0.14739668]]

  [[ 0.00169089]]]


 [[[ 0.00150942]]

  [[ 0.13157748]]

  [[ 0.26654155]]

  ...

  [[-0.26654155]]

  [[-0.13157748]]

  [[ 0.00150942]]]


 [[[ 0.        ]]

  [[ 0.        ]]

  [[ 0.        ]]

  ...

  [[ 0.        ]]

  [[ 0.        ]]

  [[ 0.        ]]]]","4D array with the lift coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.cd,input,,"[[[[0.037696  ]]

  [[0.037696  ]]

  [[0.04025918]]

  ...

  [[0.04229535]]

  [[0.0382528 ]]

  [[0.03769608]]]


 [[[0.056205  ]]

  [[0.056205  ]]

  [[0.06025173]]

  ...

  [[0.06180774]]

  [[0.05663133]]

  [[0.05620506]]]


 [[[0.046744  ]]

  [[0.046744  ]]

  [[0.05010956]]

  ...

  [[0.05204462]]

  [[0.04727916]]

  [[0.04674407]]]


 ...


 [[[0.01      ]]

  [[0.01      ]]

  [[0.01      ]]

  ...

  [[0.01      ]]

  [[0.01      ]]

  [[0.01      ]]]


 [[[0.15447479]]

  [[0.16551495]]

  [[0.17622502]]

  ...

  [[0.17622502]]

  [[0.16551495]]

  [[0.15447479]]]


 [[[0.5       ]]

  [[0.5       ]]

  [[0.5       ]]

  ...

  [[0.5       ]]

  [[0.5       ]]

  [[0.5       ]]]]","4D array with the drag coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.cm,input,,"[[[[ 0.20376752]]

  [[ 0.2       ]]

  [[ 0.22079978]]

  ...

  [[-0.31697616]]

  [[-0.09716303]]

  [[ 0.20376752]]]


 [[[ 0.00171525]]

  [[ 0.11961589]]

  [[ 0.24648694]]

  ...

  [[-0.30810388]]

  [[-0.14951987]]

  [[ 0.00171525]]]


 [[[ 0.00171525]]

  [[ 0.11961589]]

  [[ 0.24648694]]

  ...

  [[-0.30810867]]

  [[-0.14951987]]

  [[ 0.00171525]]]


 ...


 [[[ 0.00171525]]

  [[ 0.11961589]]

  [[ 0.24648694]]

  ...

  [[-0.30810867]]

  [[-0.14951987]]

  [[ 0.00171525]]]


 [[[ 0.00171525]]

  [[ 0.11961589]]

  [[ 0.24648694]]

  ...

  [[-0.30810867]]

  [[-0.14951987]]

  [[ 0.00171525]]]


 [[[ 0.        ]]

  [[ 0.        ]]

  [[ 0.        ]]

  ...

  [[ 0.        ]]

  [[ 0.        ]]

  [[ 0.        ]]]]","4D array with the moment coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.coord_xy,input,,"[[[ 1.00000000e+00 -1.39000116e-03]
  [ 9.76041164e-01  1.45768394e-03]
  [ 9.52121911e-01  4.43485592e-03]
  ...
  [ 9.53145851e-01  1.32310193e-02]
  [ 9.76587857e-01  7.41908181e-03]
  [ 1.00000000e+00  1.39000116e-03]]

 [[ 1.00000000e+00  0.00000000e+00]
  [ 9.76929663e-01  5.57238853e-04]
  [ 9.54063957e-01  4.51429912e-03]
  ...
  [ 9.57409548e-01  1.48735183e-02]
  [ 9.79378651e-01  9.07063465e-03]
  [ 1.00000000e+00  7.04731414e-19]]

 [[ 1.00000000e+00 -8.70000000e-03]
  [ 9.75166764e-01 -3.19401804e-03]
  [ 9.49926694e-01 -2.39196736e-04]
  ...
  [ 9.53041209e-01  2.12373413e-02]
  [ 9.76543751e-01  1.51021375e-02]
  [ 1.00000000e+00  8.70000000e-03]]

 ...

 [[ 1.00000000e+00 -6.20000627e-02]
  [ 9.97623314e-01 -8.10161701e-02]
  [ 9.92090785e-01 -9.12693802e-02]
  ...
  [ 9.96942317e-01 -1.14556419e-02]
  [ 9.99186413e-01 -2.83283436e-02]
  [ 1.00000000e+00 -4.70000475e-02]]

 [[ 1.00000000e+00 -8.40013004e-02]
  [ 9.95824148e-01 -9.98470875e-02]
  [ 9.91908208e-01 -1.15746094e-01]
  ...
  [ 9.96445316e-01 -2.03823373e-02]
  [ 9.98197884e-01 -3.96907249e-02]
  [ 1.00000000e+00 -5.90009134e-02]]

 [[ 1.00000000e+00  0.00000000e+00]
  [ 9.99492456e-01 -2.24148318e-02]
  [ 9.97998443e-01 -4.47793323e-02]
  ...
  [ 9.98052103e-01  4.41573285e-02]
  [ 9.99507691e-01  2.21028728e-02]
  [ 1.00000000e+00 -4.69894578e-19]]]",3D array of the x and y airfoil coordinates of the n_af airfoils.
blade.interp_airfoils.r_thick_yaml,input,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",1D array of the relative thicknesses of the blade defined along span.
blade.interp_airfoils.name,input,Unavailable,"['DU08-W-210', 'DU91-W2-250', 'DU97-W-300', 'DU00-W2-350', 'FX77-W-400', 'FX77-W-500', 'cylinder']",1D array of names of airfoils.
blade.high_level_blade_props.blade_ref_axis_user,input,m,"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  2.17241379e+00]
 [ 0.00000000e+00  0.00000000e+00  4.34482759e+00]
 [-3.96069335e-05  0.00000000e+00  6.51724138e+00]
 [-4.41888313e-03  0.00000000e+00  8.68965517e+00]
 [-1.47437694e-02  0.00000000e+00  1.08620690e+01]
 [-2.78568630e-02  0.00000000e+00  1.30344828e+01]
 [-4.57535116e-02  0.00000000e+00  1.52068966e+01]
 [-6.71775652e-02  0.00000000e+00  1.73793103e+01]
 [-9.31591116e-02  0.00000000e+00  1.95517241e+01]
 [-1.23411088e-01  0.00000000e+00  2.17241379e+01]
 [-1.58235516e-01  0.00000000e+00  2.38965517e+01]
 [-1.99036574e-01  0.00000000e+00  2.60689655e+01]
 [-2.45757463e-01  0.00000000e+00  2.82413793e+01]
 [-2.98408959e-01  0.00000000e+00  3.04137931e+01]
 [-3.57814145e-01  0.00000000e+00  3.25862069e+01]
 [-4.24076326e-01  0.00000000e+00  3.47586207e+01]
 [-4.98895254e-01  0.00000000e+00  3.69310345e+01]
 [-5.81761222e-01  0.00000000e+00  3.91034483e+01]
 [-6.75146021e-01  0.00000000e+00  4.12758621e+01]
 [-7.78279295e-01  0.00000000e+00  4.34482759e+01]
 [-8.93706090e-01  0.00000000e+00  4.56206897e+01]
 [-1.02166869e+00  0.00000000e+00  4.77931034e+01]
 [-1.16547581e+00  0.00000000e+00  4.99655172e+01]
 [-1.32474427e+00  0.00000000e+00  5.21379310e+01]
 [-1.50426524e+00  0.00000000e+00  5.43103448e+01]
 [-1.70625884e+00  0.00000000e+00  5.64827586e+01]
 [-1.93449304e+00  0.00000000e+00  5.86551724e+01]
 [-2.19383653e+00  0.00000000e+00  6.08275862e+01]
 [-2.50000000e+00  0.00000000e+00  6.30000000e+01]]","2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.high_level_blade_props.rotor_diameter_user,input,m,[130.],Diameter of the rotor specified by the user. It is defined as two times the blade length plus the hub diameter.
blade.high_level_blade_props.hub_radius,input,m,[2.],Radius of the hub. It defines the distance of the blade root from the rotor center along the coned line.
blade.compute_reynolds.rho,input,kg/m**3,[1.225],
blade.compute_reynolds.mu,input,kg/m/s,[1.81e-05],Dynamic viscosity of air
blade.compute_reynolds.local_airfoil_velocities,input,m/s,"[ 8.32989764  9.28814672 10.51551968 12.05295896 13.89228299 15.97401288
 17.98780833 20.13853477 22.33828512 24.5732244  26.82582541 29.09976978
 31.40664769 33.73702641 36.07878938 38.43019223 40.78997789 43.14776592
 45.50861959 47.87995081 50.24529976 52.61192946 54.97953614 57.34431398
 59.70268496 62.06692218 64.43589246 66.81202156 69.20181591 70.96018192]",
blade.compute_reynolds.chord,input,m,"[2.6        2.6400108  3.02068886 3.43940393 3.78632687 4.03933222
 4.20600551 4.28630928 4.29010407 4.22617877 4.10030408 3.92512419
 3.70983694 3.46870635 3.22039928 2.98486122 2.77085185 2.58013169
 2.4118525  2.26552908 2.1420721  2.04143062 1.96370352 1.90855684
 1.87089392 1.81035886 1.6705797  1.39382511 0.92204843 0.2       ]",
blade.compute_coord_xy_dim.chord,input,m,"[2.6        2.6400108  3.02068886 3.43940393 3.78632687 4.03933222
 4.20600551 4.28630928 4.29010407 4.22617877 4.10030408 3.92512419
 3.70983694 3.46870635 3.22039928 2.98486122 2.77085185 2.58013169
 2.4118525  2.26552908 2.1420721  2.04143062 1.96370352 1.90855684
 1.87089392 1.81035886 1.6705797  1.39382511 0.92204843 0.2       ]",1D array of the chord values defined along blade span.
blade.compute_coord_xy_dim.pitch_axis,input,,"[0.5        0.4805125  0.40967346 0.35077675 0.31038066 0.28320245
 0.26462878 0.25229681 0.24475743 0.24125724 0.24097363 0.24373741
 0.24949352 0.25783338 0.26800204 0.27871542 0.28894648 0.29826385
 0.30615885 0.31213058 0.31548724 0.31753162 0.31586754 0.3097253
 0.29970862 0.28806825 0.27765471 0.27050463 0.26661986 0.25      ]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.compute_coord_xy_dim.twist,input,rad,"[ 0.349       0.33965701  0.32741368  0.31081014  0.27858944  0.2354309
  0.19864576  0.1686555   0.13843916  0.11106032  0.08612175  0.06571169
  0.05023676  0.03944053  0.03041456  0.02364328  0.01824169  0.01263081
  0.00691721  0.00280744 -0.00096308 -0.00441804 -0.00790973 -0.01224484
 -0.01713418 -0.02222183 -0.02894752 -0.04010525 -0.0581402  -0.081     ]",1D array of the twist values defined along blade span. The twist is defined positive for negative rotations around the z axis (the same as in BeamDyn).
blade.compute_coord_xy_dim.coord_xy_interp,input,,"[[[ 1.00000000e+00  1.39471767e-15]
  [ 9.99492456e-01 -2.24148318e-02]
  [ 9.97998443e-01 -4.47793323e-02]
  ...
  [ 9.98052103e-01  4.41573285e-02]
  [ 9.99507691e-01  2.21028728e-02]
  [ 1.00000000e+00  1.39471767e-15]]

 [[ 1.00000000e+00 -3.16421773e-03]
  [ 9.99110945e-01 -2.47105921e-02]
  [ 9.97576994e-01 -4.67993845e-02]
  ...
  [ 9.97884994e-01  4.40785443e-02]
  [ 9.99371468e-01  2.18636293e-02]
  [ 1.00000000e+00 -1.46513661e-04]]

 [[ 1.00000000e+00 -1.94964271e-02]
  [ 9.96919760e-01 -3.64826078e-02]
  [ 9.94667087e-01 -5.60719522e-02]
  ...
  [ 9.96925214e-01  4.30168043e-02]
  [ 9.98589083e-01  2.09101531e-02]
  [ 1.00000000e+00 -1.10918874e-04]]

 ...

 [[ 1.00000000e+00 -1.24164223e-03]
  [ 9.76041164e-01  1.99488062e-03]
  [ 9.52121911e-01  4.75706135e-03]
  ...
  [ 9.53145851e-01  1.33087434e-02]
  [ 9.76587857e-01  7.46542749e-03]
  [ 1.00000000e+00  1.53836008e-03]]

 [[ 1.00000000e+00 -1.24164223e-03]
  [ 9.76041164e-01  1.99488062e-03]
  [ 9.52121911e-01  4.75706135e-03]
  ...
  [ 9.53145851e-01  1.33087434e-02]
  [ 9.76587857e-01  7.46542749e-03]
  [ 1.00000000e+00  1.53836008e-03]]

 [[ 1.00000000e+00 -1.24164223e-03]
  [ 9.76041164e-01  1.99488062e-03]
  [ 9.52121911e-01  4.75706135e-03]
  ...
  [ 9.53145851e-01  1.33087434e-02]
  [ 9.76587857e-01  7.46542749e-03]
  [ 1.00000000e+00  1.53836008e-03]]]",3D array of the non-dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations. The leading edge is place at x=0 and y=0.
